Station,GPS
Corvisart,"48.82979051369297, 2.350414872010464"
Cour Saint-Émilion,"48.83333855925167, 2.386632402066985"
Courcelles,"48.87932978868225, 2.3040703912187603"
Couronnes,"48.8690911620257, 2.380542586000037"
Créteil - L'Échat,"48.79668213499687, 2.4494128051458075"
Pointe du Lac,"48.76881073420608, 2.464280070543357"
Créteil - Préfecture,"48.78000282890859, 2.4593631290764044"
Créteil - Université,"48.789920466889434, 2.45051152829059"
Crimée,"48.890906449558166, 2.377090439088876"
Croix de Chavaux,"48.85778351458649, 2.434538451473474"
Danube,"48.88181610818685, 2.394012398359364"
Daumesnil,"48.83954964556868, 2.3957032894363937"
Denfert-Rochereau,"48.83307317062929, 2.333203670349575"
Dugommier,"48.83904114371398, 2.389620014061439"
Dupleix,"48.85043454901342, 2.2936124371878033"
Duroc,"48.84705255542817, 2.3164243520508925"
École Militaire,"48.85489056687858, 2.3064034857365168"
École vétérinaire de Maisons-Alfort,"48.81480300700047, 2.422376142845623"
Edgar Quinet,"48.84066322929957, 2.3263846107928465"
Église d'Auteuil,"48.84715005481051, 2.26913587274288"
Église de Pantin,"48.893149985759834, 2.412763044547627"
Esplanade de La Défense,"48.88813847761218, 2.2497927690097654"
Étienne Marcel,"48.863972478817246, 2.3496175641598405"
Europe,"48.878770367587585, 2.3222652131305974"
Exelmans,"48.84241277035873, 2.259608472752572"
Faidherbe - Chaligny,"48.85017786279968, 2.384092210055667"
Falguière,"48.84447014129587, 2.317852783041332"
Félix Faure,"48.84274677979288, 2.2919124133178745"
Filles du Calvaire,"48.8632579449589, 2.3666610933534518"
Fort d'Aubervilliers,"48.91494975727623, 2.4044090887818643"
Franklin D. Roosevelt,"48.86869984735294, 2.309505157337887"
Front Populaire,"48.90656714598029, 2.3659203194009595"
Gabriel Péri,"48.916382309922106, 2.2946851117025546"
Gaîté,"48.838631646237154, 2.322491748462238"
Gallieni,"48.8653353181603, 2.416697272847641"
Gambetta,"48.86516343488149, 2.3987465934425916"
Gare d'Austerlitz,"48.84236008246694, 2.3655817027477433"
Gare de l'Est,"48.87612635294891, 2.358047505360746"
Gare de Lyon,"48.843772576851464, 2.3739164698064985"
Gare du Nord,"48.88092200667149, 2.356328543670162"
Garibaldi,"48.906094050248626, 2.3318308379624098"
George V,"48.872023810399725, 2.3005604512367213"
Glacière,"48.831129548026645, 2.3435116577497763"
Goncourt,"48.86995751270301, 2.3710948397312004"
Grands Boulevards,"48.87125654594185, 2.34456106066273"
Guy Môquet,"48.892206827747096, 2.3272198679191285"
Havre - Caumartin,"48.87371340670775, 2.3276954096301736"
Hoche,"48.891228593203465, 2.4023521439004725"
Hôtel de Ville,"48.857477982529346, 2.3515775629949967"
Iéna,"48.8647940649002, 2.2941620153942797"
Invalides,"48.86038127919816, 2.3148907300588806"
Jacques Bonsergent,"48.87039638922484, 2.3614002104327776"
Jasmin,"48.85250409151217, 2.2681767494233314"
Jaurès,"48.88246524557207, 2.370157961739611"
Javel - André Citroën,"48.846157204832465, 2.278400386366102"
Jourdain,"48.87511181695599, 2.389415032035528"
Jules Joffrin,"48.892418922945716, 2.3447646117383565"
Jussieu,"48.846151122181325, 2.354917983707404"
Kléber,"48.87126214446096, 2.2932406499473137"
La Chapelle,"48.8843996770653, 2.360399500808732"
La Courneuve - 8 Mai 1945,"48.92078596906289, 2.410598616469426"
La Défense,"48.89218707644951, 2.237018056395014"
La Fourche,"48.88718394686579, 2.3257796748068915"
La Motte-Picquet - Grenelle,"48.848741665717824, 2.2989309117480614"
La Muette,"48.85804605538448, 2.274154629736559"
La Tour-Maubourg,"48.85772541289347, 2.310565960946845"
Lamarck - Caulaincourt,"48.88967407389343, 2.338760650528743"
Laumière,"48.884970562766206, 2.3787169232246455"
Le Kremlin-Bicêtre,"48.81012995727394, 2.362263387127349"
Le Peletier,"48.87497174554318, 2.34057598204372"
Ledru-Rollin,"48.85152370843435, 2.3751010337556164"
Les Agnettes,"48.92310377966602, 2.2862795775297826"
Les Courtilles,"48.93075700423553, 2.284174448270923"
Les Gobelins,"48.83593030287887, 2.3525422662627022"
Les Halles,"48.86251523497548, 2.345785860039181"
Les Sablons,"48.88101649749112, 2.272238940611057"
Liberté,"48.826620065463494, 2.4058519439819017"
Liège,"48.87963476065682, 2.3270222008895027"
Louis Blanc,"48.88094656356074, 2.3649934724001813"
Louise Michel,"48.88870601977514, 2.2880836330485037"
Lourmel,"48.83873485883676, 2.2821433781708915"
Louvre - Rivoli,"48.8608062912721, 2.3411085916340664"
Mabillon,"48.8530167679172, 2.335502051727558"
Madeleine,"48.87023324339993, 2.3251635468278975"
Mairie d'Aubervilliers,"48.913710545549606, 2.3807356063950946"
Mairie de Clichy,"48.90323367878661, 2.306010915009083"
Mairie de Montreuil,"48.86229941281971, 2.4415218094110314"
Mairie de Montrouge,"48.818676409912605, 2.3197403132985555"
Mairie de Saint-Ouen,"48.91320209515785, 2.334663150119759"
Mairie des Lilas,"48.87976125309794, 2.416479643681515"
Mairie d'Issy,"48.82430937109403, 2.2736655574997546"
Mairie d'Ivry,"48.81052080428471, 2.384289600960821"
Maison Blanche,"48.82142042957708, 2.3590551543843183"
Maisons-Alfort - Les Juilliottes,"48.80335523705089, 2.4455741010301444"
Maisons-Alfort - Stade,"48.809144361835415, 2.4345098959239406"
Malakoff - Plateau de Vanves,"48.822583707737074, 2.298464191958535"
Malakoff - Rue Étienne-Dolet,"48.81530753120022, 2.2970777969729843"
Malesherbes,"48.88289191745414, 2.309052264550479"
Maraîchers,"48.85272512017012, 2.406089161868773"
Marcadet - Poissonniers,"48.89146500033268, 2.3498154532183615"
Marcel Sembat,"48.83362878105417, 2.2435786287393302"
Marx Dormoy,"48.89048545474661, 2.359995766394621"
Maubert - Mutualité,"48.85008987805251, 2.3482087741854687"
Ménilmontant,"48.866446806067, 2.383599109573657"
Michel-Ange - Auteuil,"48.84793480789207, 2.2642187756877292"
Michel-Ange - Molitor,"48.84524756545478, 2.261623492404886"
Michel Bizot,"48.83711700698872, 2.4023331645551855"
Mirabeau,"48.84713100819624, 2.2727637533161595"
Miromesnil,"48.873733165607064, 2.314743542030632"
Monceau,"48.88032518647405, 2.308773835955807"
Montgallet,"48.84406559730793, 2.390482133980388"
Montparnasse - Bienvenüe,"48.84373548931853, 2.3243530411579663"
Mouton-Duvernet,"48.83111266037533, 2.3297050126201846"
Nation,"48.84894464506383, 2.3958794351856887"
Nationale,"48.83321671970985, 2.362856399519012"
Porte Maillot,"48.87790843816008, 2.284431219916768"
Notre-Dame-de-Lorette,"48.876047496005405, 2.337495844533765"
Notre-Dame-des-Champs,"48.84494263342596, 2.3287780268900797"
Oberkampf,"48.86496414577929, 2.3679014148417363"
Odéon,"48.852300763094235, 2.3397277815930964"
Olympiades,"48.82727083601133, 2.3680326484142777"
Opéra,"48.87048333292661, 2.3311863468516525"
Ourcq,"48.886856931501875, 2.3859131742732758"
Palais-Royal - Musée du Louvre,"48.86234803084025, 2.3364964609424774"
Parmentier,"48.86525378605433, 2.3745819699964126"
Passy,"48.85744869007581, 2.2858124441464076"
Pasteur,"48.84267681998372, 2.3128127748369023"
Pelleport,"48.86844016327547, 2.401561712742542"
Père Lachaise,"48.86218374787729, 2.3878359564536575"
Pereire,"48.88604139991642, 2.299279102380644"
Pernety,"48.83422588267789, 2.318616414425384"
Philippe Auguste,"48.85806226176241, 2.3908609523236084"
Picpus,"48.84506157994489, 2.4012890198273484"
Pierre et Marie Curie,"48.815930763056315, 2.3772672015137393"
Pigalle,"48.88222543392857, 2.3382334685046176"
Place de Clichy,"48.8838045280338, 2.3272434105874065"
Place des Fêtes,"48.8768063892129, 2.3930560919606623"
Place d'Italie,"48.830972672988366, 2.3555802740779104"
Place Monge,"48.84286683068267, 2.352224728183084"
Plaisance,"48.83182565048563, 2.3141223234590225"
Poissonnière,"48.877100185798646, 2.3487755574768467"
Pont Cardinet,"48.88956082831538, 2.3151768973047844"
Pont de Levallois - Bécon,"48.8971540959649, 2.280413812210846"
Pont de Neuilly,"48.88470820133096, 2.260515079251701"
Pont de Sèvres,"48.829746119994304, 2.231028100202621"
Pont Marie,"48.85357547250359, 2.357162571618337"
Pont-Neuf,"48.85855382636669, 2.342232759368107"
Porte Dauphine,"48.870180418141544, 2.274627543314604"
Porte d'Auteuil,"48.847971541497, 2.257744680363203"
Porte de Bagnolet,"48.86460037337562, 2.408031037075815"
Porte de Champerret,"48.886006151507, 2.293529966337255"
Porte de Charenton,"48.83199308710852, 2.398350103858007"
Porte de Choisy,"48.81987622105712, 2.364531953109201"
Porte de Clichy,"48.8946243340091, 2.3142338462894254"
Porte de Clignancourt,"48.897402222898094, 2.344847748752399"
Porte de la Chapelle,"48.89724528809305, 2.3595078688155935"
Porte de la Villette,"48.89738989158187, 2.385508387668673"
Porte de Montreuil,"48.853772788014886, 2.4118948370564355"
Porte de Pantin,"48.88841747876783, 2.3917844509634323"
Porte de Saint-Cloud,"48.83796121443632, 2.2571222298326203"
Porte de Saint-Ouen,"48.897374796428764, 2.3289428127683025"
Porte de Vanves,"48.82741485955381, 2.306635926501743"
Porte de Versailles,"48.83187246749725, 2.287207137822909"
Porte de Vincennes,"48.84694815185174, 2.409551429787372"
Porte des Lilas,"48.87717481930548, 2.406480156998486"
Porte d'Italie,"48.81922334960906, 2.35970521674602"
Porte d'Ivry,"48.82135578381409, 2.3692905873460295"
Porte Dorée,"48.83478515808142, 2.4053832106267716"
Porte d'Orléans,"48.823151633128084, 2.325509577822384"
Pré-Saint-Gervais,"48.880271957029535, 2.3984681722681724"
Pyramides,"48.86590673959417, 2.3341895419682497"
Pyrénées,"48.87388185415816, 2.385316215101792"
Quai de la Gare,"48.83704512015793, 2.3728257245425723"
Quai de la Rapée,"48.8464846505702, 2.36591010685298"
Quatre-Septembre,"48.869637996887164, 2.3362327568689163"
Rambuteau,"48.86120499033039, 2.353495741491146"
Ranelagh,"48.855485050404425, 2.2701091389418937"
Raspail,"48.83896428071056, 2.3307541920862156"
Réaumur - Sébastopol,"48.8664963437902, 2.3513589155329915"
Rennes,"48.84845784944872, 2.3277821284985807"
République,"48.86799910892294, 2.3650748610827645"
Reuilly - Diderot,"48.847179910069585, 2.385243715115072"
Richard-Lenoir,"48.85987362347133, 2.3719139801008375"
Richelieu - Drouot,"48.87169298457071, 2.338463081008744"
Riquet,"48.88796756174982, 2.3734568878525493"
Robespierre,"48.855726428633155, 2.4229832161458753"
Rome,"48.88233342370702, 2.3218017310631685"
Rue de la Pompe,"48.86394013069539, 2.2784416488331494"
Rue des Boulets,"48.852168369650244, 2.3896255399759547"
Rue du Bac,"48.85519632481491, 2.325815566511529"
Rue Saint-Maur,"48.864285758645295, 2.379741893177554"
Saint-Ambroise,"48.86147646373029, 2.373943508245182"
Saint-Augustin,"48.87447567664767, 2.322001788877926"
Saint-Denis - Porte de Paris,"48.929935889678696, 2.3560357941727967"
Saint-Denis - Université,"48.94586727214251, 2.3646364825042263"
Saint-François-Xavier,"48.85144170744032, 2.314408121472487"
Saint-Georges,"48.87817339105656, 2.337857510381017"
Saint-Germain-des-Prés,"48.853718934000206, 2.3337761382184676"
Saint-Jacques,"48.83290081566025, 2.3371351933439004"
Saint-Lazare,"48.87567210708072, 2.3278422352596215"
Saint-Mandé,"48.846423077287035, 2.4187597866986716"
Saint-Marcel,"48.83842729696758, 2.360967167698855"
Saint-Michel,"48.85353290071982, 2.3452883321974305"
Saint-Ouen,"48.9045663899011, 2.3226263683342268"
Saint-Paul,"48.85523625280238, 2.360956490023829"
Saint-Philippe du Roule,"48.87204586272729, 2.3100189324082736"
Saint-Placide,"48.84687823885142, 2.3267927850276813"
Saint-Sébastien - Froissart,"48.861168864595705, 2.3672108677856154"
Saint-Sulpice,"48.851071370372, 2.3307007099542143"
Ségur,"48.84706613315245, 2.3074022406196404"
Sentier,"48.86751302499845, 2.346552336353212"
Sèvres - Babylone,"48.851031751239304, 2.3261023128241907"
Sèvres - Lecourbe,"48.84562696674718, 2.3095314914609446"
Simplon,"48.894343848842425, 2.347430779960205"
Solférino,"48.85849912371638, 2.323167611246745"
Stalingrad,"48.88432566304799, 2.3673720385654686"
Strasbourg - Saint-Denis,"48.86940219665552, 2.3538187935928794"
Sully - Morland,"48.85162059096899, 2.3615249655078383"
Télégraphe,"48.87547445667917, 2.398867596625601"
Temple,"48.866514461743, 2.3608035032752688"
Ternes,"48.87797270141956, 2.2983103737615287"
Tolbiac,"48.82642601087568, 2.357245650758686"
Trinité - d'Estienne d'Orves,"48.87633026495961, 2.333108893760544"
Trocadéro,"48.863610937645674, 2.2875801625296517"
Tuileries,"48.86434377873392, 2.330129877112862"
Vaneau,"48.848816373369594, 2.3212578628937472"
Varenne,"48.85687137924919, 2.315056637317088"
Vaugirard,"48.839516585402485, 2.3011075162423964"
Vavin,"48.84221841361353, 2.329008926235403"
Victor Hugo,"48.86979855646069, 2.2853350946861695"
Villejuif - Léo Lagrange,"48.80468812091137, 2.3639531966021656"
Villejuif - Louis Aragon,"48.78756279294567, 2.367804105603498"
Villejuif - Paul Vaillant-Couturier,"48.79648308455054, 2.3682695400496945"
Villiers,"48.881094427166275, 2.3147210047461946"
Volontaires,"48.84150552236008, 2.3079486779742893"
Voltaire,"48.85787849486676, 2.3800206442479825"
Wagram,"48.88380920123339, 2.304674440528396"
