de Ligne,de Station,vers Ligne,vers Station
7,La Courneuve - 8 Mai 1945, 1,La Courneuve - 8 Mai 1945
7,Stalingrad,2,Stalingrad
7,Stalingrad,5,Stalingrad
7,Gare de l'Est,4,Gare de l'Est
7,Gare de l'Est,5,Gare de l'Est
7,Chaussée d'Antin - La Fayette,9,Chaussée d'Antin - La Fayette
7,Opéra,3,Opéra
7,Opéra,8,Opéra
7,Pyramides,14,Pyramides
7,Palais-Royal - Musée du Louvre,1,Palais-Royal - Musée du Louvre
7,Châtelet,1,Châtelet
7,Châtelet,4,Châtelet
7,Châtelet,11,Châtelet
7,Châtelet,14,Châtelet
7,Jussieu,10,Jussieu
7,Place d'Italie,5,Place d'Italie
7,Place d'Italie,6,Place d'Italie
7,Villejuif - Louis Aragon, 7,Villejuif - Louis Aragon
7bis,Louis Blanc,7,Louis Blanc
7bis,Jaurès,2,Jaurès
7bis,Jaurès,5,Jaurès
7bis,Place des Fêtes,11,Place des Fêtes
8,La Motte-Picquet - Grenelle,6,La Motte-Picquet - Grenelle
8,La Motte-Picquet - Grenelle,10,La Motte-Picquet - Grenelle
8,Invalides,13,Invalides
8,Concorde,1,Concorde
8,Concorde,12,Concorde
8,Madeleine,12,Madeleine
8,Madeleine,14,Madeleine
8,Opéra,3,Opéra
8,Opéra,7,Opéra
8,Richelieu - Drouot,9,Richelieu - Drouot
8,Grands Boulevards,9,Grands Boulevards
8,Bonne-Nouvelle,9,Bonne-Nouvelle
8,Strasbourg - Saint-Denis,4,Strasbourg - Saint-Denis
8,Strasbourg - Saint-Denis,9,Strasbourg - Saint-Denis
8,République,3,République
8,République,5,République
8,République,9,République
8,République,11,République
8,Bastille,1,Bastille
8,Bastille,5,Bastille
8,Reuilly - Diderot,1,Reuilly - Diderot
8,Daumesnil,6,Daumesnil
9,Michel-Ange - Molitor,10,Michel-Ange - Molitor
9,Michel-Ange - Auteuil,10,Michel-Ange - Auteuil
9,Trocadéro,6,Trocadéro
9,Franklin D. Roosevelt,1,Franklin D. Roosevelt
9,Miromesnil,13,Miromesnil
9,Havre - Caumartin,3,Havre - Caumartin
9,Chaussée d'Antin - La Fayette,7,Chaussée d'Antin - La Fayette
9,Richelieu - Drouot,8,Richelieu - Drouot
9,Grands Boulevards,8,Grands Boulevards
9,Bonne-Nouvelle,8,Bonne-Nouvelle
9,Strasbourg - Saint-Denis,4,Strasbourg - Saint-Denis
9,Strasbourg - Saint-Denis,8,Strasbourg - Saint-Denis
9,République,3,République
9,République,5,République
9,République,8,République
9,République,11,République
9,Oberkampf,5,Oberkampf
9,Nation,1,Nation
9,Nation,2,Nation
9,Nation,6,Nation
10,Michel-Ange - Molitor,9,Michel-Ange - Molitor
10,Michel-Ange - Auteuil,9,Michel-Ange - Auteuil
10,La Motte-Picquet - Grenelle,6,La Motte-Picquet - Grenelle
10,La Motte-Picquet - Grenelle,8,La Motte-Picquet - Grenelle
10,Duroc,13,Duroc
10,Sèvres - Babylone,12,Sèvres - Babylone
10,Odéon,4,Odéon
10,Jussieu,7,Jussieu
10,Gare d'Austerlitz,5,Gare d'Austerlitz
11,Châtelet,1,Châtelet
11,Châtelet,4,Châtelet
11,Châtelet,7,Châtelet
11,Châtelet,14,Châtelet
11,Hôtel de Ville,1,Hôtel de Ville
11,Arts et Métiers,3,Arts et Métiers
11,République,3,République
11,République,5,République
11,République,8,République
11,République,9,République
11,Belleville,2,Belleville
12,Marcadet - Poissonniers,4,Marcadet - Poissonniers
12,Pigalle,2,Pigalle
12,Saint-Lazare,3,Saint-Lazare
12,Saint-Lazare,13,Saint-Lazare
12,Saint-Lazare,14,Saint-Lazare
12,Madeleine,8,Madeleine
12,Madeleine,14,Madeleine
12,Concorde,1,Concorde
12,Concorde,8,Concorde
12,Sèvres - Babylone,10,Sèvres - Babylone
12,Montparnasse - Bienvenüe,4,Montparnasse - Bienvenüe
12,Montparnasse - Bienvenüe,6,Montparnasse - Bienvenüe
12,Montparnasse - Bienvenüe,13,Montparnasse - Bienvenüe
12,Pasteur,6,Pasteur
12,Porte de Versailles, 2,Porte de Versailles
13,Les Courtilles, 1,Les Courtilles
13,Porte de Clichy,14,Porte de Clichy
13,Basilique de Saint-Denis, 1,Basilique de Saint-Denis
13,Saint-Denis - Porte de Paris, 8,Saint-Denis - Porte de Paris
13,Mairie de Saint-Ouen,14,Mairie de Saint-Ouen
13,Place de Clichy,2,Place de Clichy
13,Saint-Lazare,3,Saint-Lazare
13,Saint-Lazare,12,Saint-Lazare
13,Saint-Lazare,14,Saint-Lazare
13,Miromesnil,9,Miromesnil
13,Champs-Élysées - Clemenceau,1,Champs-Élysées - Clemenceau
13,Invalides,8,Invalides
13,Duroc,10,Duroc
13,Montparnasse - Bienvenüe,4,Montparnasse - Bienvenüe
13,Montparnasse - Bienvenüe,6,Montparnasse - Bienvenüe
13,Montparnasse - Bienvenüe,12,Montparnasse - Bienvenüe
13,Châtillon - Montrouge, 6,Châtillon - Montrouge
14,Mairie de Saint-Ouen,13,Mairie de Saint-Ouen
14,Porte de Clichy,13,Porte de Clichy
14,Saint-Lazare,3,Saint-Lazare
14,Saint-Lazare,12,Saint-Lazare
14,Saint-Lazare,13,Saint-Lazare
14,Madeleine,8,Madeleine
14,Madeleine,12,Madeleine
14,Pyramides,7,Pyramides
14,Châtelet,1,Châtelet
14,Châtelet,4,Châtelet
14,Châtelet,7,Châtelet
14,Châtelet,11,Châtelet
14,Gare de Lyon,1,Gare de Lyon
14,Bercy,6,Bercy
1,Esplanade de La Défense,1,La Défense
1,Pont de Neuilly,1,Esplanade de La Défense
1,Les Sablons,1,Pont de Neuilly
1,Porte Maillot,1,Les Sablons
1,Argentine,1,Porte Maillot
1,Charles de Gaulle - Étoile,1,Argentine
1,George V,1,Charles de Gaulle - Étoile
1,Franklin D. Roosevelt,1,George V
1,Champs-Élysées - Clemenceau,1,Franklin D. Roosevelt
1,Concorde,1,Champs-Élysées - Clemenceau
1,Tuileries,1,Concorde
1,Palais-Royal - Musée du Louvre,1,Tuileries
1,Louvre - Rivoli,1,Palais-Royal - Musée du Louvre
1,Châtelet,1,Louvre - Rivoli
1,Hôtel de Ville,1,Châtelet
1,Saint-Paul,1,Hôtel de Ville
1,Bastille,1,Saint-Paul
1,Gare de Lyon,1,Bastille
1,Reuilly - Diderot,1,Gare de Lyon
1,Nation,1,Reuilly - Diderot
1,Porte de Vincennes,1,Nation
1,Saint-Mandé,1,Porte de Vincennes
1,Bérault,1,Saint-Mandé
1,Château de Vincennes,1,Bérault
2,Victor Hugo,2,Porte Dauphine
2,Charles de Gaulle - Étoile,2,Victor Hugo
2,Ternes,2,Charles de Gaulle - Étoile
2,Courcelles,2,Ternes
2,Monceau,2,Courcelles
2,Villiers,2,Monceau
2,Rome,2,Villiers
2,Place de Clichy,2,Rome
2,Blanche,2,Place de Clichy
2,Pigalle,2,Blanche
2,Anvers,2,Pigalle
2,Barbès - Rochechouart,2,Anvers
2,La Chapelle,2,Barbès - Rochechouart
2,Stalingrad,2,La Chapelle
2,Jaurès,2,Stalingrad
2,Colonel Fabien,2,Jaurès
2,Belleville,2,Colonel Fabien
2,Couronnes,2,Belleville
2,Ménilmontant,2,Couronnes
2,Père Lachaise,2,Ménilmontant
2,Philippe Auguste,2,Père Lachaise
2,Alexandre Dumas,2,Philippe Auguste
2,Avron,2,Alexandre Dumas
2,Nation,2,Avron
3,Anatole France,3,Pont de Levallois - Bécon
3,Louise Michel,3,Anatole France
3,Porte de Champerret,3,Louise Michel
3,Pereire,3,Porte de Champerret
3,Wagram,3,Pereire
3,Malesherbes,3,Wagram
3,Villiers,3,Malesherbes
3,Europe,3,Villiers
3,Saint-Lazare,3,Europe
3,Havre - Caumartin,3,Saint-Lazare
3,Opéra,3,Havre - Caumartin
3,Quatre-Septembre,3,Opéra
3,Bourse,3,Quatre-Septembre
3,Sentier,3,Bourse
3,Réaumur - Sébastopol,3,Sentier
3,Arts et Métiers,3,Réaumur - Sébastopol
3,Temple,3,Arts et Métiers
3,République,3,Temple
3,Parmentier,3,République
3,Rue Saint-Maur,3,Parmentier
3,Père Lachaise,3,Rue Saint-Maur
3,Gambetta,3,Père Lachaise
3,Porte de Bagnolet,3,Gambetta
3,Gallieni,3,Porte de Bagnolet
3bis,Pelleport,3bis,Gambetta
3bis,Porte des Lilas,3bis,Pelleport
4,Simplon,4,Porte de Clignancourt
4,Marcadet - Poissonniers,4,Simplon
4,Château Rouge,4,Marcadet - Poissonniers
4,Barbès - Rochechouart,4,Château Rouge
4,Gare du Nord,4,Barbès - Rochechouart
4,Gare de l'Est,4,Gare du Nord
4,Château d'Eau,4,Gare de l'Est
4,Strasbourg - Saint-Denis,4,Château d'Eau
4,Réaumur - Sébastopol,4,Strasbourg - Saint-Denis
4,Étienne Marcel,4,Réaumur - Sébastopol
4,Les Halles,4,Étienne Marcel
4,Châtelet,4,Les Halles
4,Cité,4,Châtelet
4,Saint-Michel,4,Cité
4,Odéon,4,Saint-Michel
4,Saint-Germain-des-Prés,4,Odéon
4,Saint-Sulpice,4,Saint-Germain-des-Prés
4,Saint-Placide,4,Saint-Sulpice
4,Montparnasse - Bienvenüe,4,Saint-Placide
4,Vavin,4,Montparnasse - Bienvenüe
4,Raspail,4,Vavin
4,Denfert-Rochereau,4,Raspail
4,Mouton-Duvernet,4,Denfert-Rochereau
4,Alésia,4,Mouton-Duvernet
4,Porte d'Orléans,4,Alésia
4,Mairie de Montrouge,4,Porte d'Orléans
4,Barbara,4,Mairie de Montrouge
4,Bagneux - Lucie Aubrac,4,Barbara
5,Bobigny - Pantin - Raymond Queneau,5,Bobigny - Pablo Picasso
5,Église de Pantin,5,Bobigny - Pantin - Raymond Queneau
5,Hoche,5,Église de Pantin
5,Porte de Pantin,5,Hoche
5,Ourcq,5,Porte de Pantin
5,Laumière,5,Ourcq
5,Jaurès,5,Laumière
5,Stalingrad,5,Jaurès
5,Gare du Nord,5,Stalingrad
5,Gare de l'Est,5,Gare du Nord
5,Jacques Bonsergent,5,Gare de l'Est
5,République,5,Jacques Bonsergent
5,Oberkampf,5,République
5,Richard-Lenoir,5,Oberkampf
5,Bréguet - Sabin,5,Richard-Lenoir
5,Bastille,5,Bréguet - Sabin
5,Quai de la Rapée,5,Bastille
5,Gare d'Austerlitz,5,Quai de la Rapée
5,Saint-Marcel,5,Gare d'Austerlitz
5,Campo-Formio,5,Saint-Marcel
5,Place d'Italie,5,Campo-Formio
6,Kléber,6,Charles de Gaulle - Étoile
6,Boissière,6,Kléber
6,Trocadéro,6,Boissière
6,Passy,6,Trocadéro
6,Bir-Hakeim,6,Passy
6,Dupleix,6,Bir-Hakeim
6,La Motte-Picquet - Grenelle,6,Dupleix
6,Cambronne,6,La Motte-Picquet - Grenelle
6,Sèvres - Lecourbe,6,Cambronne
6,Pasteur,6,Sèvres - Lecourbe
6,Montparnasse - Bienvenüe,6,Pasteur
6,Edgar Quinet,6,Montparnasse - Bienvenüe
6,Raspail,6,Edgar Quinet
6,Denfert-Rochereau,6,Raspail
6,Saint-Jacques,6,Denfert-Rochereau
6,Glacière,6,Saint-Jacques
6,Corvisart,6,Glacière
6,Place d'Italie,6,Corvisart
6,Nationale,6,Place d'Italie
6,Chevaleret,6,Nationale
6,Quai de la Gare,6,Chevaleret
6,Bercy,6,Quai de la Gare
6,Dugommier,6,Bercy
6,Daumesnil,6,Dugommier
6,Bel-Air,6,Daumesnil
6,Picpus,6,Bel-Air
6,Nation,6,Picpus
7,Fort d'Aubervilliers,7,La Courneuve - 8 Mai 1945
7,Aubervilliers - Pantin - Quatre Chemins,7,Fort d'Aubervilliers
7,Porte de la Villette,7,Aubervilliers - Pantin - Quatre Chemins
7,Corentin Cariou,7,Porte de la Villette
7,Crimée,7,Corentin Cariou
7,Riquet,7,Crimée
7,Stalingrad,7,Riquet
7,Louis Blanc,7,Stalingrad
7,Château-Landon,7,Louis Blanc
7,Gare de l'Est,7,Château-Landon
7,Poissonnière,7,Gare de l'Est
7,Cadet,7,Poissonnière
7,Le Peletier,7,Cadet
7,Chaussée d'Antin - La Fayette,7,Le Peletier
7,Opéra,7,Chaussée d'Antin - La Fayette
7,Pyramides,7,Opéra
7,Palais-Royal - Musée du Louvre,7,Pyramides
7,Pont-Neuf,7,Palais-Royal - Musée du Louvre
7,Châtelet,7,Pont-Neuf
7,Pont Marie,7,Châtelet
7,Sully - Morland,7,Pont Marie
7,Jussieu,7,Sully - Morland
7,Place Monge,7,Jussieu
7,Censier - Daubenton,7,Place Monge
7,Les Gobelins,7,Censier - Daubenton
7,Place d'Italie,7,Les Gobelins
7,Tolbiac,7,Place d'Italie
7,Maison Blanche,7,Tolbiac
7,Le Kremlin-Bicêtre,7,Maison Blanche
7,Villejuif - Léo Lagrange,7,Le Kremlin-Bicêtre
7,Villejuif - Paul Vaillant-Couturier,7,Villejuif - Léo Lagrange
7,Villejuif - Louis Aragon,7,Villejuif - Paul Vaillant-Couturier
7,Porte d'Italie,7,Villejuif - Louis Aragon
7,Porte de Choisy,7,Porte d'Italie
7,Porte d'Ivry,7,Porte de Choisy
7,Pierre et Marie Curie,7,Porte d'Ivry
7,Mairie d'Ivry,7,Pierre et Marie Curie
7bis,Jaurès,7bis,Louis Blanc
7bis,Bolivar,7bis,Jaurès
7bis,Buttes Chaumont,7bis,Bolivar
7bis,Botzaris,7bis,Buttes Chaumont
7bis,Danube,7bis,Botzaris
7bis,Place des Fêtes,7bis,Danube
7bis,Pré-Saint-Gervais,7bis,Place des Fêtes
8,Lourmel,8,Balard
8,Boucicaut,8,Lourmel
8,Félix Faure,8,Boucicaut
8,Commerce,8,Félix Faure
8,La Motte-Picquet - Grenelle,8,Commerce
8,École Militaire,8,La Motte-Picquet - Grenelle
8,La Tour-Maubourg,8,École Militaire
8,Invalides,8,La Tour-Maubourg
8,Concorde,8,Invalides
8,Madeleine,8,Concorde
8,Opéra,8,Madeleine
8,Richelieu - Drouot,8,Opéra
8,Grands Boulevards,8,Richelieu - Drouot
8,Bonne-Nouvelle,8,Grands Boulevards
8,Strasbourg - Saint-Denis,8,Bonne-Nouvelle
8,République,8,Strasbourg - Saint-Denis
8,Filles du Calvaire,8,République
8,Saint-Sébastien - Froissart,8,Filles du Calvaire
8,Chemin Vert,8,Saint-Sébastien - Froissart
8,Bastille,8,Chemin Vert
8,Ledru-Rollin,8,Bastille
8,Faidherbe - Chaligny,8,Ledru-Rollin
8,Reuilly - Diderot,8,Faidherbe - Chaligny
8,Montgallet,8,Reuilly - Diderot
8,Daumesnil,8,Montgallet
8,Michel Bizot,8,Daumesnil
8,Porte Dorée,8,Michel Bizot
8,Porte de Charenton,8,Porte Dorée
8,Liberté,8,Porte de Charenton
8,Charenton - Écoles,8,Liberté
8,École vétérinaire de Maisons-Alfort,8,Charenton - Écoles
8,Maisons-Alfort - Stade,8,École vétérinaire de Maisons-Alfort
8,Maisons-Alfort - Les Juilliottes,8,Maisons-Alfort - Stade
8,Créteil - L'Échat,8,Maisons-Alfort - Les Juilliottes
8,Créteil - Université,8,Créteil - L'Échat
8,Créteil - Préfecture,8,Créteil - Université
8,Pointe du Lac,8,Créteil - Préfecture
9,Billancourt,9,Pont de Sèvres
9,Marcel Sembat,9,Billancourt
9,Porte de Saint-Cloud,9,Marcel Sembat
9,Exelmans,9,Porte de Saint-Cloud
9,Michel-Ange - Molitor,9,Exelmans
9,Michel-Ange - Auteuil,9,Michel-Ange - Molitor
9,Jasmin,9,Michel-Ange - Auteuil
9,Ranelagh,9,Jasmin
9,La Muette,9,Ranelagh
9,Rue de la Pompe,9,La Muette
9,Trocadéro,9,Rue de la Pompe
9,Iéna,9,Trocadéro
9,Alma - Marceau,9,Iéna
9,Franklin D. Roosevelt,9,Alma - Marceau
9,Saint-Philippe du Roule,9,Franklin D. Roosevelt
9,Miromesnil,9,Saint-Philippe du Roule
9,Saint-Augustin,9,Miromesnil
9,Havre - Caumartin,9,Saint-Augustin
9,Chaussée d'Antin - La Fayette,9,Havre - Caumartin
9,Richelieu - Drouot,9,Chaussée d'Antin - La Fayette
9,Grands Boulevards,9,Richelieu - Drouot
9,Bonne-Nouvelle,9,Grands Boulevards
9,Strasbourg - Saint-Denis,9,Bonne-Nouvelle
9,République,9,Strasbourg - Saint-Denis
9,Oberkampf,9,République
9,Saint-Ambroise,9,Oberkampf
9,Voltaire,9,Saint-Ambroise
9,Charonne,9,Voltaire
9,Rue des Boulets,9,Charonne
9,Nation,9,Rue des Boulets
9,Buzenval,9,Nation
9,Maraîchers,9,Buzenval
9,Porte de Montreuil,9,Maraîchers
9,Robespierre,9,Porte de Montreuil
9,Croix de Chavaux,9,Robespierre
9,Mairie de Montreuil,9,Croix de Chavaux
10,Boulogne - Jean Jaurès,10,Boulogne - Pont de Saint-Cloud
10,Porte d'Auteuil,10,Boulogne - Jean Jaurès
10,Michel-Ange - Molitor,10,Porte d'Auteuil
10,Michel-Ange - Auteuil,10,Michel-Ange - Molitor
10,Chardon-Lagache,10,Michel-Ange - Auteuil
10,Église d'Auteuil,10,Chardon-Lagache
10,Mirabeau,10,Église d'Auteuil
10,Javel - André Citroën,10,Mirabeau
10,Charles Michels,10,Javel - André Citroën
10,Avenue Émile-Zola,10,Charles Michels
10,La Motte-Picquet - Grenelle,10,Avenue Émile-Zola
10,Ségur,10,La Motte-Picquet - Grenelle
10,Duroc,10,Ségur
10,Vaneau,10,Duroc
10,Sèvres - Babylone,10,Vaneau
10,Mabillon,10,Sèvres - Babylone
10,Odéon,10,Mabillon
10,Cluny - La Sorbonne,10,Odéon
10,Maubert - Mutualité,10,Cluny - La Sorbonne
10,Cardinal Lemoine,10,Maubert - Mutualité
10,Jussieu,10,Cardinal Lemoine
10,Gare d'Austerlitz,10,Jussieu
11,Hôtel de Ville,11,Châtelet
11,Rambuteau,11,Hôtel de Ville
11,Arts et Métiers,11,Rambuteau
11,République,11,Arts et Métiers
11,Goncourt,11,République
11,Belleville,11,Goncourt
11,Pyrénées,11,Belleville
11,Jourdain,11,Pyrénées
11,Place des Fêtes,11,Jourdain
11,Télégraphe,11,Place des Fêtes
11,Porte des Lilas,11,Télégraphe
11,Mairie des Lilas,11,Porte des Lilas
12,Aimé Césaire,12,Mairie d'Aubervilliers
12,Front Populaire,12,Aimé Césaire
12,Porte de la Chapelle,12,Front Populaire
12,Marx Dormoy,12,Porte de la Chapelle
12,Marcadet - Poissonniers,12,Marx Dormoy
12,Jules Joffrin,12,Marcadet - Poissonniers
12,Lamarck - Caulaincourt,12,Jules Joffrin
12,Abbesses,12,Lamarck - Caulaincourt
12,Pigalle,12,Abbesses
12,Saint-Georges,12,Pigalle
12,Notre-Dame-de-Lorette,12,Saint-Georges
12,Trinité - d'Estienne d'Orves,12,Notre-Dame-de-Lorette
12,Saint-Lazare,12,Trinité - d'Estienne d'Orves
12,Madeleine,12,Saint-Lazare
12,Concorde,12,Madeleine
12,Assemblée nationale,12,Concorde
12,Solférino,12,Assemblée nationale
12,Rue du Bac,12,Solférino
12,Sèvres - Babylone,12,Rue du Bac
12,Rennes,12,Sèvres - Babylone
12,Notre-Dame-des-Champs,12,Rennes
12,Montparnasse - Bienvenüe,12,Notre-Dame-des-Champs
12,Falguière,12,Montparnasse - Bienvenüe
12,Pasteur,12,Falguière
12,Volontaires,12,Pasteur
12,Vaugirard,12,Volontaires
12,Convention,12,Vaugirard
12,Porte de Versailles,12,Convention
12,Corentin Celton,12,Porte de Versailles
12,Mairie d'Issy,12,Corentin Celton
13,Les Agnettes,13,Les Courtilles
13,Gabriel Péri,13,Les Agnettes
13,Mairie de Clichy,13,Gabriel Péri
13,Porte de Clichy,13,Mairie de Clichy
13,Brochant,13,Porte de Clichy
13,Saint-Denis - Université,13,Brochant
13,Basilique de Saint-Denis,13,Saint-Denis - Université
13,Saint-Denis - Porte de Paris,13,Basilique de Saint-Denis
13,Carrefour Pleyel,13,Saint-Denis - Porte de Paris
13,Mairie de Saint-Ouen,13,Carrefour Pleyel
13,Garibaldi,13,Mairie de Saint-Ouen
13,Porte de Saint-Ouen,13,Garibaldi
13,Guy Môquet,13,Porte de Saint-Ouen
13,La Fourche,13,Guy Môquet
13,Place de Clichy,13,La Fourche
13,Liège,13,Place de Clichy
13,Saint-Lazare,13,Liège
13,Miromesnil,13,Saint-Lazare
13,Champs-Élysées - Clemenceau,13,Miromesnil
13,Invalides,13,Champs-Élysées - Clemenceau
13,Varenne,13,Invalides
13,Saint-François-Xavier,13,Varenne
13,Duroc,13,Saint-François-Xavier
13,Montparnasse - Bienvenüe,13,Duroc
13,Gaîté,13,Montparnasse - Bienvenüe
13,Pernety,13,Gaîté
13,Plaisance,13,Pernety
13,Porte de Vanves,13,Plaisance
13,Malakoff - Plateau de Vanves,13,Porte de Vanves
13,Malakoff - Rue Étienne-Dolet,13,Malakoff - Plateau de Vanves
13,Châtillon - Montrouge,13,Malakoff - Rue Étienne-Dolet
14,Saint-Ouen,14,Mairie de Saint-Ouen
14,Porte de Clichy,14,Saint-Ouen
14,Pont Cardinet,14,Porte de Clichy
14,Saint-Lazare,14,Pont Cardinet
14,Madeleine,14,Saint-Lazare
14,Pyramides,14,Madeleine
14,Châtelet,14,Pyramides
14,Gare de Lyon,14,Châtelet
14,Bercy,14,Gare de Lyon
14,Cour Saint-Émilion,14,Bercy
14,Bibliothèque François-Mitterrand,14,Cour Saint-Émilion
14,Olympiades,14,Bibliothèque François-Mitterrand 
1,La Défense,1,Esplanade de La Défense
1,Esplanade de La Défense,1,Pont de Neuilly
1,Pont de Neuilly,1,Les Sablons
1,Les Sablons,1,Porte Maillot
1,Porte Maillot,1,Argentine
1,Argentine,1,Charles de Gaulle - Étoile
1,Charles de Gaulle - Étoile,1,George V
1,George V,1,Franklin D. Roosevelt
1,Franklin D. Roosevelt,1,Champs-Élysées - Clemenceau
1,Champs-Élysées - Clemenceau,1,Concorde
1,Concorde,1,Tuileries
1,Tuileries,1,Palais-Royal - Musée du Louvre
1,Palais-Royal - Musée du Louvre,1,Louvre - Rivoli
1,Louvre - Rivoli,1,Châtelet
1,Châtelet,1,Hôtel de Ville
1,Hôtel de Ville,1,Saint-Paul
1,Saint-Paul,1,Bastille
1,Bastille,1,Gare de Lyon
1,Gare de Lyon,1,Reuilly - Diderot
1,Reuilly - Diderot,1,Nation
1,Nation,1,Porte de Vincennes
1,Porte de Vincennes,1,Saint-Mandé
1,Saint-Mandé,1,Bérault
1,Bérault,1,Château de Vincennes
2,Porte Dauphine,2,Victor Hugo
2,Victor Hugo,2,Charles de Gaulle - Étoile
2,Charles de Gaulle - Étoile,2,Ternes
2,Ternes,2,Courcelles
2,Courcelles,2,Monceau
2,Monceau,2,Villiers
2,Villiers,2,Rome
2,Rome,2,Place de Clichy
2,Place de Clichy,2,Blanche
2,Blanche,2,Pigalle
2,Pigalle,2,Anvers
2,Anvers,2,Barbès - Rochechouart
2,Barbès - Rochechouart,2,La Chapelle
2,La Chapelle,2,Stalingrad
2,Stalingrad,2,Jaurès
2,Jaurès,2,Colonel Fabien
2,Colonel Fabien,2,Belleville
2,Belleville,2,Couronnes
2,Couronnes,2,Ménilmontant
2,Ménilmontant,2,Père Lachaise
2,Père Lachaise,2,Philippe Auguste
2,Philippe Auguste,2,Alexandre Dumas
2,Alexandre Dumas,2,Avron
2,Avron,2,Nation
3,Pont de Levallois - Bécon,3,Anatole France
3,Anatole France,3,Louise Michel
3,Louise Michel,3,Porte de Champerret
3,Porte de Champerret,3,Pereire
3,Pereire,3,Wagram
3,Wagram,3,Malesherbes
